"BranchID","Cell Type","ClusterID","PercentMatchArc","Persistence","TreeID","downNodeId","isDummyArc","isImportantPair","upNodeId"
0,3,0,200,1.3058,0,2,0,1,0
0,3,0,200,1.3058,0,4,0,1,2
1,3,0,200,0.85266,0,6,1,1,2
1,3,0,200,0.85266,0,6,0,1,2
0,3,0,200,1.3058,0,8,0,1,4
2,3,0,200,0.84865,0,10,1,1,4
2,3,0,200,0.84865,0,10,0,1,4
3,3,0,200,0.12336,0,12,1,1,8
3,3,0,200,0.12336,0,12,0,1,8
0,3,0,200,1.3058,0,14,0,1,8
3,3,0,200,0.12336,0,16,0,1,12
4,3,0,200,0.043758,0,18,1,1,12
4,3,0,200,0.043758,0,18,0,1,12
0,3,0,200,1.3058,0,20,0,1,14
5,3,0,200,0.15053,0,22,1,1,14
5,3,0,200,0.15053,0,22,0,1,14
3,3,0,200,0.12336,0,24,0,1,16
6,3,0,100,0.025046,0,26,1,1,16
6,3,0,100,0.025046,0,26,0,1,16
0,3,0,200,1.3058,0,28,0,1,20
7,3,0,100,0.040935,0,30,1,1,20
7,3,0,100,0.040935,0,30,0,1,20
3,3,0,200,0.12336,0,32,0,1,24
8,3,0,100,0.051345,0,34,1,1,24
8,3,0,100,0.051345,0,34,0,1,24
0,3,0,200,1.3058,0,36,0,1,28
9,3,0,100,0.034271,0,38,1,1,28
9,3,0,100,0.034271,0,38,0,1,28
0,3,0,200,1.3058,0,40,0,1,36
10,3,0,200,0.038993,0,42,1,1,36
10,3,0,200,0.038993,0,42,0,1,36
0,3,0,200,1.3058,0,44,0,1,40
11,3,0,200,0.079721,0,46,1,1,40
11,3,0,200,0.079721,0,46,0,1,40
0,3,0,200,1.3058,0,48,0,1,44
12,3,0,200,0.05689,0,50,1,1,44
12,3,0,200,0.05689,0,50,0,1,44
0,3,0,200,1.3058,0,52,0,1,48
13,3,0,100,0.008474,0,54,1,1,48
13,3,0,100,0.008474,0,54,0,1,48
